Roll: 1301CE15
Semester Wise Details
Sem,Subject,Credits,Grade,Type
1,CH101,8,CC,CORE
1,CH110,3,BB,CORE
1,EE101,8,BC,CORE
1,HS101,6,CD,CORE
1,MA101,8,CD,CORE
1,ME110,3,AB,CORE
1,ME111,7,BB,CORE
1,PH101,6,CC,CORE
2,CH102,6,CC,CORE
2,CS101,6,CD,CORE
2,CS110,3,BC,CORE
2,EE102,4,BC,CORE
2,MA102,8,CC,CORE
2,ME101,8,BC,CORE
2,PH102,6,CC,CORE
2,PH110,3,BB,CORE
3,CE201,6,BC,CORE
3,CE203,6,BC,CORE
3,CE205,6,BC,CORE
3,CE207,3,AB,CORE
3,CS201,9,CC,CORE
3,HS231,6,DD,HS Elective
3,MA201,8,CD,CORE
4,CE202,8,CD,CORE
4,CE204,6,CD,CORE
4,CE206,6,BC,CORE
4,CE208,6,CC,CORE
4,CE210,3,BC,CORE
4,CE212,3,CC,CORE
4,HS221,6,BC,HS Elective
4,PH201,6,CC,Science Elective
5,CE301,8,BB,CORE
5,CE303,6,CC,CORE
5,CE305,6,BB,CORE
5,CE307,6,BB,CORE
5,CE309,7,BC,CORE
5,CE311,3,BB,CORE
6,CE302,8,BC,CORE
6,CE304,6,BC,CORE
6,CE306,6,AB,CORE
6,CE308,6,BC,CORE
6,CE310,3,BC,CORE
6,CE312,3,BB,CORE
6,CE313,3,BB,CORE
6,CE316,6,AA,Departmental Elective
6,HS331,6,CD,HSS Electives
7,CE400,2,AB,CORE
7,CE401,6,AB,CORE
7,CE403,6,BC,CORE
7,CE498,8,BB,CORE
7,CE519,6,AB,Department Elective - I
7,CE523,6,BC,Department Elective - II
7,PH401,6,BC,Open Elective - I
8,CB412,6,BC,Open Elective - II
8,CE499,16,AA,CORE
8,CE528,6,BC,Department Elective - IV
8,CE544,6,BC,Department Elective - III
8,HS421,6,BC,HS Elective
